filepath,relative_path,dataset,group_id,duration_seconds,approx_L5_relative_energy,approx_L5_shannon_entropy,approx_L5_mean,approx_L5_std,approx_L5_median,approx_L5_p10,approx_L5_p90,detail_L5_relative_energy,detail_L5_shannon_entropy,detail_L5_mean,detail_L5_std,detail_L5_median,detail_L5_p10,detail_L5_p90,detail_L4_relative_energy,detail_L4_shannon_entropy,detail_L4_mean,detail_L4_std,detail_L4_median,detail_L4_p10,detail_L4_p90,detail_L3_relative_energy,detail_L3_shannon_entropy,detail_L3_mean,detail_L3_std,detail_L3_median,detail_L3_p10,detail_L3_p90,detail_L2_relative_energy,detail_L2_shannon_entropy,detail_L2_mean,detail_L2_std,detail_L2_median,detail_L2_p10,detail_L2_p90,detail_L1_relative_energy,detail_L1_shannon_entropy,detail_L1_mean,detail_L1_std,detail_L1_median,detail_L1_p10,detail_L1_p90
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\2-32515-A-42.wav,Multiclass_Drone_Audio\unknown\2-32515-A-42.wav,al_emadi,2-32515-A-42,0.97525,0.001093318263859573,7.81662654876709,0.0014173590458050208,0.04081584021947485,-0.0012709756847470999,-0.04656398668885231,0.05144401341676713,3.391496332853815e-05,7.457624435424805,-0.00020186772679471246,0.007190212308435004,-2.4244331143563613e-05,-0.0085033243522048,0.0076951546594500545,0.006917565807418248,7.53648567199707,-0.0013655558066588158,0.07363577407950891,-5.6016160669969395e-05,-0.06755377128720283,0.06581281200051307,0.1766620118204423,8.354267120361328,-0.0036134958814625262,0.2650748011638615,-0.00027448785840533674,-0.2362966775894165,0.21351113021373763,0.812291211606442,9.02829647064209,5.022269535044255e-05,0.40338786765941154,6.800462870160118e-05,-0.24490734934806824,0.2597401082515718,0.003001977538509339,9.303086280822754,-1.2587960745268387e-05,0.017371290000293492,7.34435161575675e-06,-0.009871212299913168,0.010181881953030825
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-213855-A-01.wav,Multiclass_Drone_Audio\unknown\5-213855-A-01.wav,al_emadi,5-213855-A-01,1.0216875,0.00661228306516504,8.054627418518066,-0.000587998244193141,0.05159527575346901,-0.001345871074590832,-0.06824633926153183,0.06283877342939378,0.0010027928567065913,6.754262447357178,-0.0016096622339217424,0.020029500136979114,-0.0010830812389031053,-0.02132574375718832,0.01659660004079342,0.30484897781080017,6.359049320220947,-0.008235391842733324,0.25088889979939394,0.000891268951818347,-0.12391090616583823,0.10223942473530771,0.6667747870102512,7.612088680267334,-0.00013794805063624,0.2642821519321968,0.0006805412122048438,-0.11665278896689407,0.11735386550426476,0.020679659624515886,8.963727951049805,-9.233303721455514e-06,0.03302250378211267,1.4852312233415432e-05,-0.02234851364046335,0.022878912650048742,8.149963256112466e-05,10.728157043457031,-1.412322329196217e-06,0.0014683929125389977,5.766418553321273e-06,-0.0013818517327308655,0.0013628664659336215
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-213077-A-114.wav,Multiclass_Drone_Audio\unknown\5-213077-A-114.wav,al_emadi,5-213077-A-114,0.95975,0.9181944421265127,7.949409484863281,0.027625667561165697,0.5614307610555429,0.012199705466628075,-0.7616970896720886,0.7286597371101381,0.05091933063766399,7.811793327331543,-0.0034904131276397073,0.1323257366653874,-0.009023962542414665,-0.16796401143074036,0.16802515089511874,0.012818607560319061,8.82668685913086,-0.00024509376091030134,0.04762491337007499,0.0012164763757027686,-0.06389060989022255,0.05833742953836918,0.00869071952215872,9.890010833740234,-0.0002940801582333943,0.027926315842593266,-0.0007479990599676967,-0.0362968061119318,0.03591425195336342,0.007176659439791118,10.884366035461426,5.747167071435143e-05,0.018010397683782802,0.00015525040362263098,-0.023082508891820907,0.023525752313435077,0.0022002407135544456,11.833616256713867,-2.0711460102773185e-05,0.0070643398317258655,3.0298527235572692e-05,-0.00906229205429554,0.008994051720947029
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-244178-A-320.wav,Multiclass_Drone_Audio\unknown\5-244178-A-320.wav,al_emadi,5-244178-A-320,1.0216875,0.002618109306581823,5.880248069763184,8.011313794248993e-05,0.0021437120349307275,2.9767677006020676e-05,-0.0011243542307056487,0.0014479523524641997,0.0020171689650129087,4.995086669921875,2.4104604606566186e-05,0.0018828302300822432,-1.360748115075694e-06,-0.001036494830623269,0.0009937123628333212,0.021943774243628485,5.400032997131348,7.318393825078156e-05,0.004449211298925958,3.014865160366753e-05,-0.0017618552432395519,0.0018185743945650782,0.1150098982668642,5.607001304626465,-0.00020238441470457716,0.007249197010859085,-2.7255465283815283e-05,-0.0026884517632424832,0.001959898695349692,0.7435851352229025,5.568132400512695,-1.2517053528790833e-05,0.013083281637627384,-9.390112154505914e-06,-0.0031480632256716485,0.0028955056797713053,0.11482591399501006,7.492703437805176,1.6474523585091663e-05,0.0036416092972350765,1.9859115809595096e-06,-0.0011064695892855523,0.0011476616025902333
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\membo_1\Membo_0_009-membo_003_.wav,Multiclass_Drone_Audio\membo_1\Membo_0_009-membo_003_.wav,al_emadi,Membo_0_009-membo_003,1.024,0.5377188863511262,8.530452728271484,-0.0038854566914071458,0.11645185622314555,9.984440475818701e-05,-0.15163268893957138,0.15092894583940508,0.0043599331016941694,7.982256889343262,-9.507345105680122e-05,0.010491376279451757,-9.375296968983093e-06,-0.013458590395748612,0.013117076456546785,0.10039262326919249,9.093025207519531,-0.00016235427950861352,0.036087135621262936,-0.0013936393661424518,-0.046004608273506165,0.04813969507813454,0.08963067698985339,9.715978622436523,7.81566885362344e-05,0.024279162263146446,-0.0004135991621296853,-0.028879743441939353,0.029330133274197572,0.1144315096265704,10.715316772460938,5.315170967616302e-05,0.019466507343644503,0.00024258936173282564,-0.02331162802875042,0.02348541580140591,0.1534663706615634,11.606094360351562,-1.7310147752108984e-05,0.015967902614835557,-1.2454784155124798e-05,-0.019026185385882854,0.018881100229918957
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\1-91359-B-110.wav,Multiclass_Drone_Audio\unknown\1-91359-B-110.wav,al_emadi,1-91359-B-110,1.0216875,0.4958562880430764,7.9986443519592285,-0.015308041100651648,0.32019164019760515,-0.02221293468028307,-0.43482252359390255,0.39000586271286014,0.11358271460701191,8.045113563537598,0.001140543422983595,0.15341646591146363,0.000598996295593679,-0.19484242498874665,0.1970856875181198,0.18968648838849494,8.880546569824219,-0.0007961099919705752,0.1420527785616876,-0.0019158227951265872,-0.1809211179614067,0.17298033833503726,0.1475568312439505,9.938633918762207,0.0014800566964482391,0.08917920180841594,0.00045052879431750625,-0.11038878858089447,0.11506937146186826,0.04310011816985864,10.860669136047363,3.354935894513405e-05,0.03420131387283863,-0.00020346102974144742,-0.04304055795073509,0.042702043056488045,0.010217559547607584,11.8729248046875,-1.1893765975700224e-05,0.011795149545704348,-0.00011337012256262824,-0.014802877139300107,0.014883366506546742
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\2-100786-A-13.wav,Multiclass_Drone_Audio\unknown\2-100786-A-13.wav,al_emadi,2-100786-A-13,1.0216875,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-253094-A-490.wav,Multiclass_Drone_Audio\unknown\5-253094-A-490.wav,al_emadi,5-253094-A-490,1.0216875,0.07056113078861942,6.6840314865112305,0.006726002255948018,0.17959115304024004,-0.00045491461060009897,-0.14999079704284668,0.158864563703537,0.08292445899881352,6.462477684020996,-0.003007427495635949,0.19480320605184176,0.003080077818594873,-0.1659138470888138,0.14628915786743166,0.12455928725161032,7.777851581573486,-0.0073427552126533475,0.17092465009169763,-0.0022259377874433994,-0.16376376599073408,0.15218715071678163,0.23000881106005716,9.018811225891113,-0.002575680705258861,0.16547867456939372,0.001125891343690455,-0.17565328031778335,0.17019431740045546,0.356639391785678,10.002462387084961,0.0002574007567947833,0.1462165143190795,-0.0007690848724450916,-0.151557794213295,0.15814344435930264,0.13530692011522158,10.997451782226562,1.8205351318117744e-05,0.06379237116943332,0.0001917321133078076,-0.06821661591529846,0.06737359464168549
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-119647-B-481.wav,Multiclass_Drone_Audio\unknown\4-119647-B-481.wav,al_emadi,4-119647-B-481,1.0216875,0.42724793323753396,6.771249771118164,-8.945832433747357e-05,0.010666733186319468,4.116869604331441e-06,-0.00941217839717865,0.008692187257111073,0.015386476846306504,7.32351016998291,4.498280795310952e-05,0.002023806777667706,6.810023478465155e-05,-0.0020596043672412635,0.0022803561063483363,0.04723229845929771,8.235828399658203,-0.0001236563495678954,0.00253817736655381,-6.706432395731099e-05,-0.002891619666479528,0.002601200784556569,0.10277793883001887,8.750665664672852,-3.3054665846159654e-05,0.002668328010482222,-1.4265661775425542e-05,-0.0025571781210601326,0.0024645016528666006,0.3899910379844383,9.871655464172363,1.0428354518166752e-05,0.0036881468419951748,1.2781056284438819e-05,-0.0038421494420617813,0.003868082468397916,0.01736431464240466,10.981184959411621,-1.4603449882726545e-07,0.0005512362159102077,1.0920689419435803e-06,-0.0005851341527886688,0.0006000440160278232
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_122-bebop_003_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_122-bebop_003_.wav,al_emadi,B_S2_D1_122-bebop_003,1.024,0.6790828756114582,7.14039421081543,-0.0006851670506875962,0.4368060433996934,0.005915025714784861,-0.4827516287565231,0.4905237317085267,0.03485963052481325,8.063749313354492,-0.0007501621566108143,0.09896387477668095,0.0005745794624090195,-0.12751093804836272,0.12684316933155068,0.0223774860755469,8.926036834716797,0.0012530759530075268,0.05682289646418866,0.003294864436611533,-0.0710783526301384,0.07222536206245422,0.0673472925875005,9.993560791015625,-0.0007457424667922163,0.07020379243398586,0.00018055913096759468,-0.09192733019590377,0.08966889679431915,0.11729563249321732,10.931304931640625,-0.0005652418886184213,0.06574444881796397,-0.0009490482625551522,-0.08628574758768082,0.08156066685914994,0.07903708270746382,11.948278427124023,-0.00025509697354323427,0.03822651456001897,-7.248132169479504e-05,-0.04930601455271244,0.048617638647556305
