filepath,relative_path,dataset,group_id,duration_seconds,approx_L4_relative_energy,approx_L4_shannon_entropy,approx_L4_mean,approx_L4_std,approx_L4_median,approx_L4_p10,approx_L4_p90,detail_L4_relative_energy,detail_L4_shannon_entropy,detail_L4_mean,detail_L4_std,detail_L4_median,detail_L4_p10,detail_L4_p90,detail_L3_relative_energy,detail_L3_shannon_entropy,detail_L3_mean,detail_L3_std,detail_L3_median,detail_L3_p10,detail_L3_p90,detail_L2_relative_energy,detail_L2_shannon_entropy,detail_L2_mean,detail_L2_std,detail_L2_median,detail_L2_p10,detail_L2_p90,detail_L1_relative_energy,detail_L1_shannon_entropy,detail_L1_mean,detail_L1_std,detail_L1_median,detail_L1_p10,detail_L1_p90
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_000_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_000_.wav,al_emadi,B_S2_D1_067-bebop_000,1.024,0.8735117254998153,8.072325706481934,0.0016489442481430131,0.4970699938105312,-0.004034425830468535,-0.5140770256519317,0.4848383367061615,0.03203377362802452,7.1463942527771,0.0010233657776834732,0.09518412174254223,0.0011271116673015058,-0.07382202669978141,0.07434061318635939,0.024046939798461526,9.833120346069336,-0.0032238659928320542,0.05835629305445818,-0.0038979491218924522,-0.07615533024072647,0.06867469102144243,0.04099888147363538,10.890087127685547,0.001019140849169094,0.05400528665917254,0.0006115568685345352,-0.06578284576535225,0.06750397682189942,0.02940867960006329,11.855188369750977,-0.0001946997314880257,0.03236341514149234,1.206345041282475e-05,-0.0407831184566021,0.040276724845170975
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_001_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_001_.wav,al_emadi,B_S2_D1_067-bebop_001,1.024,0.47184660592483957,7.74995756149292,-0.0016369734789910835,0.1846116672687579,-0.000955775030888617,-0.1647309273481369,0.1699418634176254,0.04501328645846884,8.891820907592773,0.00013509990218548508,0.057022331115090606,0.0008476582006551325,-0.0729407586157322,0.07102356627583503,0.11197393806317811,9.907608032226562,0.0007969269668980821,0.06372858416581331,0.0008137265685945749,-0.07895261645317078,0.07965148836374283,0.21127405969320437,10.765044212341309,0.0020578181841326834,0.06193003287410099,0.0018693820456974208,-0.07412866204977035,0.07723001539707183,0.15989210986030913,11.781035423278809,-1.735328022461368e-05,0.03813538917721996,0.00010132453462574631,-0.047295067459344864,0.047535162419080734
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_002_.wav,al_emadi,B_S2_D1_067-bebop_002,1.024,0.761581739638597,7.899991035461426,-0.0031085006593520818,0.3202994741972527,-0.0041840949561446905,-0.32794735729694363,0.31752566695213286,0.012235386015311305,8.82859992980957,-0.0007039557741907544,0.04059401073396475,0.0004688860790338367,-0.052244511991739274,0.050724187493324274,0.05075303232307531,9.981110572814941,-0.002180247538723901,0.05855749947130818,-0.001464557833969593,-0.0781610295176506,0.07316820472478867,0.09450286433307299,10.889638900756836,0.0006097297792270487,0.056592346721423804,0.0012192435679025948,-0.07187174633145332,0.07206520587205888,0.08092697768994338,11.979969024658203,9.230940082558058e-06,0.03705134170960576,-0.00022249514586292207,-0.048008088022470474,0.04786529764533043
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_003_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_003_.wav,al_emadi,B_S2_D1_067-bebop_003,1.024,0.674643832410865,8.289113998413086,9.132238401505237e-05,0.2646690908741903,0.0012591617996804416,-0.2752939373254776,0.3041934311389923,0.020141908740673512,9.002237319946289,-0.0011480075960672938,0.045717176273018856,-0.0011505737784318626,-0.05714022628962993,0.057512762024998665,0.062227773903473456,9.934808731079102,0.0010516658627924933,0.05695318668298253,0.002011441858485341,-0.0698724165558815,0.07442259639501574,0.1319437493198756,10.910218238830566,0.0002519523949634617,0.05870815152023985,-0.0003234880859963596,-0.07368531301617622,0.07531103491783142,0.11104273562511242,11.929636001586914,-4.218731376369619e-05,0.03810216606766256,-9.755357314134017e-05,-0.04847084730863571,0.04891130141913891
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_004_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_067-bebop_004_.wav,al_emadi,B_S2_D1_067-bebop_004,0.896,0.43050636918002005,8.19508171081543,-0.0011940180741001202,0.17715679238615067,-1.8391379853710532e-05,-0.2039666533470154,0.1847617968916893,0.03772083440184041,8.767820358276367,0.0005874019702747093,0.052437414714763174,0.0017232313402928412,-0.06726745069026946,0.06507231667637825,0.12412336718107136,9.614999771118164,-0.002297815941485448,0.06739395922562427,-0.00032285996712744236,-0.08661109954118727,0.08126570284366609,0.2221404717641658,10.720020294189453,-0.001642386165391109,0.06383884604496103,-0.0026095983339473605,-0.08177170008420943,0.08120334222912788,0.18550895747290236,11.71817684173584,2.3444710985114432e-05,0.04128804391269174,-0.00031496048904955387,-0.05222286283969879,0.05290137864649296
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_000_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_000_.wav,al_emadi,B_S2_D1_068-bebop_000,1.024,0.9099729985845996,8.10112476348877,-0.001143499443299848,0.6772863776027596,-0.004618069622665644,-0.7004118919372558,0.7275438547134399,0.01996518863507019,7.238348007202148,-0.0007081883958344123,0.10031932677687692,-0.0009106006473302841,-0.08826781883835792,0.08646677285432815,0.01686560099494249,9.8676118850708,-0.0011034696558071186,0.06533285270141993,-0.0019781473092734814,-0.08142267614603042,0.08247467279434205,0.02928627224400472,10.93691349029541,-0.0010255504682516385,0.06093562845996735,-0.0024798510130494833,-0.07902554795145988,0.07912525385618213,0.023909939541382992,11.88897705078125,4.468054253334819e-05,0.038957093578790604,2.0301202312111855e-05,-0.049052754417061806,0.04893847368657589
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_001_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_001_.wav,al_emadi,B_S2_D1_068-bebop_001,1.024,0.8378828284214885,8.600175857543945,-0.0027342780087861304,0.4646128779362907,-0.004521036287769675,-0.5480839312076569,0.5333385109901428,0.015463391154832255,8.827851295471191,0.0003725306472520871,0.06311780965734258,-0.0006956467404961586,-0.08098452240228653,0.08041334152221678,0.03584186354321759,9.962381362915039,0.0010243509698108545,0.06809060416659998,0.0019728560000658035,-0.08764705359935761,0.0883093282580376,0.061523967147253965,10.965457916259766,0.0006482872253939496,0.06314637422170528,0.0008469235617667437,-0.08036103546619415,0.08200800195336344,0.04928794973320761,11.930404663085938,6.387011666222907e-05,0.03998672129663317,0.00042901007691398263,-0.05150601081550121,0.05130901373922825
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_002_.wav,al_emadi,B_S2_D1_068-bebop_002,1.024,0.7572376165734623,7.13109827041626,-0.0035531493165537483,0.37929488599641253,0.002840185770764947,-0.3051636666059494,0.27776437997817993,0.018735278302733287,8.931245803833008,0.0007143299264935759,0.05965940271606329,4.0652885218150914e-05,-0.07674160450696946,0.07330284640192986,0.058851803764111435,9.92044448852539,0.0006913614919119676,0.07493337465225104,0.0019249673932790756,-0.09427663683891296,0.09258491098880772,0.09689360581076588,10.929601669311523,0.0008851047615067255,0.06805073040124127,0.0020121196284890175,-0.08608168065547943,0.08688419237732888,0.06828169554892705,11.918231010437012,3.276261094079049e-05,0.040417630764186446,-0.000615931348875165,-0.050410306081175804,0.05220175161957741
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_003_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_003_.wav,al_emadi,B_S2_D1_068-bebop_003,1.024,0.27245827982419796,8.587686538696289,0.0001381949858100139,0.13246430715218493,0.0027743219397962093,-0.15330461412668228,0.14977733641862867,0.05323469124256602,8.989358901977539,-0.0017331362656379018,0.058526981894074744,-8.552405051887035e-05,-0.07966386154294014,0.07250713109970093,0.17848431708741608,9.94428539276123,-0.0011960050303725766,0.07596774528135954,-0.0017766980454325676,-0.09957892149686813,0.09575078338384635,0.2926814712787977,10.961942672729492,-0.0007201019151358836,0.06885967738035778,-0.0011173028033226728,-0.0894712783396244,0.08794181272387505,0.2031412405670223,11.923553466796875,3.633210085835823e-05,0.04058698923653539,-0.00018929668294731528,-0.05172497779130936,0.0516931526362896
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_004_.wav,Multiclass_Drone_Audio\bebop_1\B_S2_D1_068-bebop_004_.wav,al_emadi,B_S2_D1_068-bebop_004,0.896,0.2731677255996167,8.797950744628906,-5.626069710200907e-05,0.1225343643637695,0.006361250299960375,-0.15960128307342528,0.15492240935564042,0.05630815275608464,8.760324478149414,0.0009852990242668047,0.05562381370759264,0.0009291290771216154,-0.06964587420225143,0.07164857760071755,0.16118035880561374,9.714729309082031,0.0007981176842451538,0.06671705929455296,0.0005317383329384029,-0.08535859882831573,0.08338500261306762,0.30260140120575474,10.723197937011719,-0.0012073028095755311,0.06470534047557212,-0.0009473061945755035,-0.0832423023879528,0.08091823309659957,0.2067423616329302,11.734456062316895,0.00014096092315006229,0.03784591877838506,0.0002850893069989979,-0.04847930707037449,0.04818601161241533
