filepath,relative_path,dataset,group_id,duration_seconds,approx_L4_relative_energy,approx_L4_shannon_entropy,approx_L4_mean,approx_L4_std,approx_L4_median,approx_L4_p10,approx_L4_p90,detail_L4_relative_energy,detail_L4_shannon_entropy,detail_L4_mean,detail_L4_std,detail_L4_median,detail_L4_p10,detail_L4_p90,detail_L3_relative_energy,detail_L3_shannon_entropy,detail_L3_mean,detail_L3_std,detail_L3_median,detail_L3_p10,detail_L3_p90,detail_L2_relative_energy,detail_L2_shannon_entropy,detail_L2_mean,detail_L2_std,detail_L2_median,detail_L2_p10,detail_L2_p90,detail_L1_relative_energy,detail_L1_shannon_entropy,detail_L1_mean,detail_L1_std,detail_L1_median,detail_L1_p10,detail_L1_p90
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\1-40730-A-10.wav,Multiclass_Drone_Audio\unknown\1-40730-A-10.wav,al_emadi,1-40730-A-10,1.0216875,0.004693913994810774,7.574341773986816,0.0015986994035461154,0.04656663541902661,0.001793494331650436,-0.04233000837266445,0.0454848572611809,0.5201647073312021,6.7017130851745605,0.05614112467002522,0.4872702838612028,0.0005348134727682918,-0.19626834839582444,0.2859428703784945,0.37914230095442597,7.9948410987854,-0.008952051624135399,0.29647759741841057,-0.0005332236760295928,-0.2227984994649887,0.2207486301660538,0.0909236846072119,10.230833053588867,0.0006747237590881953,0.10278292679208124,-8.230943876696983e-06,-0.12040659710764884,0.12479342371225359,0.0050753931123492125,10.829292297363281,-6.308409539454001e-06,0.017178983694774826,-4.045214154757559e-06,-0.017706656083464622,0.018238113820552827
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\3-71964-A-44.wav,Multiclass_Drone_Audio\unknown\3-71964-A-44.wav,al_emadi,3-71964-A-44,0.95975,0.006644149952202159,7.38878870010376,-0.0011188723247091664,0.02630962818602147,-0.0002748678089119494,-0.026469675824046135,0.025889761745929718,0.0046341588141642414,6.150745391845703,9.290137742229064e-05,0.021992212907849123,-3.158045728923753e-06,-0.004790609935298562,0.0045063921716064215,0.38012113988834756,7.086278438568115,0.0021354992524616786,0.14108205872998597,-5.458423402160406e-08,-0.010257055982947348,0.013673163391649779,0.5883046173837525,7.889501571655273,-1.474945280259042e-05,0.12421823879502204,3.046261554118246e-08,-0.010668237507343291,0.011817608959972862,0.02029593396153353,8.790363311767578,1.7997620676688523e-05,0.016321921497740588,-2.186947313020937e-06,-0.00148452736902982,0.0013450696133077145
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-161099-B-473.wav,Multiclass_Drone_Audio\unknown\4-161099-B-473.wav,al_emadi,4-161099-B-473,1.0216875,0.46389210839855016,8.906417846679688,0.0009190365382205651,0.33721446992117965,0.00036829058080911636,-0.43618063926696776,0.40917631387710574,0.3562717192486748,8.817048072814941,-0.0005658313868324324,0.2955215738282085,-0.0001381265465170145,-0.37091573476791384,0.3690012156963348,0.13059497442404697,9.61875057220459,0.0022807096135350315,0.12671201171738117,-0.001007287297397852,-0.14203214645385742,0.15614659488201146,0.04307862087281446,10.624615669250488,0.00020015551438084,0.051505747167559526,-0.0004373926931293681,-0.06115636713802814,0.06096942573785782,0.006162577055913621,11.43643569946289,-1.6847330012023986e-06,0.013780978339911362,-1.4793360605835915e-05,-0.015773717314004898,0.01540657039731741
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-188191-A-293.wav,Multiclass_Drone_Audio\unknown\4-188191-A-293.wav,al_emadi,4-188191-A-293,1.0216875,0.31226756292161606,6.705727577209473,-4.308327352580832e-05,0.04714889306273765,-7.948019629111513e-05,-0.019399105757474895,0.016246045194566287,0.6218750951901661,5.593912124633789,0.00013743997504734367,0.06653634551318811,1.1723012448783265e-05,-0.018788238801062108,0.024269866384565842,0.02105155670434419,7.561800956726074,8.910765328682948e-05,0.008670677231057126,1.1451086720626336e-05,-0.0043125406838953485,0.003585756011307241,0.031027050377853038,7.872908592224121,8.60922266460943e-05,0.0074486620023066575,-6.676614020761917e-06,-0.0024539817590266463,0.002706791949458421,0.013778734806020564,8.165746688842773,-7.97400907032366e-06,0.003511651254640731,-8.246161087299697e-07,-0.001102370349690318,0.0010105788242071873
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\mixed_52-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\mixed_52-bebop_002_.wav,al_emadi,mixed_52-bebop_002,1.024,0.6600010487140188,8.708398818969727,0.0025966083603793555,0.1766851066559128,-3.533123526722193e-05,-0.20832267105579377,0.22125345468521118,0.06136331325248711,8.811515808105469,0.0005508208612050155,0.053877348068222766,-0.00181133538717404,-0.06512709408998489,0.07053212523460389,0.06957730195356966,9.997962951660156,7.827924602596314e-05,0.04062804152723891,0.000508499113493599,-0.05390127822756767,0.05148261934518814,0.11648741904507812,10.947181701660156,0.00014697929388300204,0.03720354866758752,-0.00018424232257530093,-0.04708166420459747,0.04816872999072075,0.09257091703484639,11.9266357421875,-8.059732346954816e-05,0.023461369659880486,4.635678487829864e-05,-0.030153122171759597,0.02927917912602425
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\membo_1\Membo_1_043-membo_001_.wav,Multiclass_Drone_Audio\membo_1\Membo_1_043-membo_001_.wav,al_emadi,Membo_1_043-membo_001,1.024,0.34901044000319276,9.257609367370605,-0.00028333074099031613,0.06164153041363325,-0.0039962721057236195,-0.07913453429937363,0.08478467836976052,0.07055592827113519,8.959090232849121,-5.698508559839203e-05,0.027715621898851517,-0.0009682124655228108,-0.03459478504955769,0.03558888770639897,0.1199283057269646,9.875125885009766,0.0004882865336310958,0.025583439784498067,0.00016716121172066778,-0.03213153332471847,0.0333743542432785,0.2187137224528633,10.773965835571289,-5.689017835862447e-06,0.02445516054268633,4.242040449753404e-05,-0.030220022425055504,0.030175967141985893,0.24179160354584414,11.84420108795166,-1.0103909484871628e-06,0.01818961532166619,-7.851253030821681e-05,-0.022848008573055266,0.02264986485242844
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\mixed_45-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\mixed_45-bebop_002_.wav,al_emadi,mixed_45-bebop_002,1.024,0.767555289896284,8.488424301147461,0.00021844836278565372,0.19334579340035946,0.0034275820944458246,-0.22869116812944412,0.2197588548064232,0.017147756358556074,8.936779022216797,-0.0002801685385491916,0.028897709047025915,0.0008647391223348677,-0.03745752722024918,0.035856574028730395,0.05256522305210763,9.885711669921875,0.0005067870706705102,0.03582650061912687,-0.0001994796039070934,-0.04385657422244549,0.046732437238097196,0.09378652282119015,10.908053398132324,4.387675894762295e-06,0.03387069581973237,0.00029838690534234047,-0.04318339750170708,0.0424826480448246,0.06894520787186223,11.907227516174316,-8.227766755058603e-05,0.02054342571047886,-0.0002977766562253237,-0.026090693846344947,0.02613740041851998
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\2-104952-A-164.wav,Multiclass_Drone_Audio\unknown\2-104952-A-164.wav,al_emadi,2-104952-A-164,0.95975,0.8994162673029874,8.863723754882812,-0.0007178904076529123,0.10889869820133573,-0.0021779272938147187,-0.13994193077087402,0.14107578247785568,0.08678516905204701,8.690999984741211,-5.767613387674837e-05,0.03382781059979358,-0.0004175423237029463,-0.04137860983610153,0.04343463480472565,0.010517420112632733,9.745797157287598,5.54777927547028e-05,0.008341996184787055,3.6704586818814278e-06,-0.010329316183924674,0.010432225652039058,0.0026119057567186377,10.869816780090332,-6.756924953725132e-06,0.0029418887299806564,-6.564499926753342e-06,-0.0038284101290628316,0.0037129699718207133,0.0006692377756141837,11.843491554260254,-2.325018588918071e-07,0.0010534687543231878,-1.8384307622909546e-06,-0.0013354563852772117,0.0013555653858929873
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-194930-A-10.wav,Multiclass_Drone_Audio\unknown\5-194930-A-10.wav,al_emadi,5-194930-A-10,1.0216875,0.022671822344691082,6.489058494567871,-0.0008253220997703253,0.06104029044728704,-0.0008069827454164624,-0.005223247408866882,0.007664453331381088,0.1722861068234673,6.449838161468506,-0.001407154058813243,0.16827632379965007,3.092281986027956e-11,-0.0028205083683133124,0.01591900382191024,0.7512880941122146,7.4601945877075195,-0.0003356890259750827,0.2489095123654898,5.9117155615240335e-12,-0.002955752145498964,0.0020484748296439705,0.052001170268201224,8.473526954650879,1.6213673534814394e-05,0.046339182206748965,-5.229594535194337e-12,-0.0009074942150618878,0.0009933772031217826,0.0017528064514257095,9.17021369934082,2.773694840349005e-06,0.006018379366211052,4.547473508864641e-13,-0.0003437064588069914,0.0002914047043304898
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-172732-A-364.wav,Multiclass_Drone_Audio\unknown\4-172732-A-364.wav,al_emadi,4-172732-A-364,0.95975,0.43187172177665595,9.17215633392334,0.003860459493291921,0.5558127854621551,0.02171776071190834,-0.7488900721073151,0.7299163341522217,0.19618063037140335,8.837292671203613,-0.0012006895916968367,0.3746169717689504,-0.0021967990905977786,-0.4782909154891968,0.4715847223997116,0.18025033445958738,9.799835205078125,-0.004912475201561321,0.25432663970586683,-0.008323967456817627,-0.3253749370574951,0.3119718849658967,0.1496358314645014,10.895851135253906,0.0017983813231013102,0.16400238657458088,0.003958021057769656,-0.214192932844162,0.21141662150621415,0.042061481927851946,11.870038986206055,-0.00034714434749093655,0.06151438139205166,0.0003558963071554899,-0.07997375726699829,0.07929255068302155
