filepath,relative_path,dataset,group_id,duration_seconds,approx_L5_relative_energy,approx_L5_shannon_entropy,approx_L5_mean,approx_L5_std,approx_L5_median,approx_L5_p10,approx_L5_p90,detail_L5_relative_energy,detail_L5_shannon_entropy,detail_L5_mean,detail_L5_std,detail_L5_median,detail_L5_p10,detail_L5_p90,detail_L4_relative_energy,detail_L4_shannon_entropy,detail_L4_mean,detail_L4_std,detail_L4_median,detail_L4_p10,detail_L4_p90,detail_L3_relative_energy,detail_L3_shannon_entropy,detail_L3_mean,detail_L3_std,detail_L3_median,detail_L3_p10,detail_L3_p90,detail_L2_relative_energy,detail_L2_shannon_entropy,detail_L2_mean,detail_L2_std,detail_L2_median,detail_L2_p10,detail_L2_p90,detail_L1_relative_energy,detail_L1_shannon_entropy,detail_L1_mean,detail_L1_std,detail_L1_median,detail_L1_p10,detail_L1_p90
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\1-40730-A-10.wav,Multiclass_Drone_Audio\unknown\1-40730-A-10.wav,al_emadi,1-40730-A-10,1.0216875,0.003520705377539514,5.674033164978027,0.0027100706068353955,0.056850629959627134,0.003034807974472642,-0.0402710348367691,0.04624640941619873,0.0016267041938292472,7.1444993019104,0.0011409932681872973,0.038670400141324716,0.00023577896354254335,-0.04220712706446648,0.04616248905658722,0.5199277024568493,6.7017130851745605,0.05614112467002522,0.4872702838612028,0.0005348134727682918,-0.19626834839582444,0.2859428703784945,0.3789695507233298,7.9948410987854,-0.008952051624135399,0.29647759741841057,-0.0005332236760295928,-0.2227984994649887,0.2207486301660538,0.09088225665921329,10.230833053588867,0.0006747237590881953,0.10278292679208124,-8.230943876696983e-06,-0.12040659710764884,0.12479342371225359,0.005073080589238878,10.829292297363281,-6.308409539454001e-06,0.017178983694774826,-4.045214154757559e-06,-0.017706656083464622,0.018238113820552827
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\3-71964-A-44.wav,Multiclass_Drone_Audio\unknown\3-71964-A-44.wav,al_emadi,3-71964-A-44,0.95975,0.00840615727580998,6.059709548950195,-0.0031130182517104623,0.0416860168920693,-0.0012008777121081948,-0.037984080612659454,0.0369412824511528,0.0002554148766309375,3.827871084213257,0.00030101510395074104,0.007280336296550019,-1.6164194676093757e-06,-0.003898133058100939,0.004238235065713525,0.004624747227298691,6.150745391845703,9.290137742229064e-05,0.021992212907849123,-3.158045728923753e-06,-0.004790609935298562,0.0045063921716064215,0.3793491458175884,7.086278438568115,0.0021354992524616786,0.14108205872998597,-5.458423402160406e-08,-0.010257055982947348,0.013673163391649779,0.587109820176331,7.889501571655273,-1.474945280259042e-05,0.12421823879502204,3.046261554118246e-08,-0.010668237507343291,0.011817608959972862,0.020254714626341,8.790363311767578,1.7997620676688523e-05,0.016321921497740588,-2.186947313020937e-06,-0.00148452736902982,0.0013450696133077145
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-161099-B-473.wav,Multiclass_Drone_Audio\unknown\4-161099-B-473.wav,al_emadi,4-161099-B-473,1.0216875,0.10051318024603266,7.817293167114258,0.003392656803909307,0.22186496616940918,-0.004121944308280945,-0.28647454977035525,0.2793092668056489,0.3660322446272227,7.848732948303223,0.007081334874109587,0.4233766580559992,0.008245655335485935,-0.5798072934150695,0.49761721491813665,0.3545084517479292,8.817048072814941,-0.0005658313868324324,0.2955215738282085,-0.0001381265465170145,-0.37091573476791384,0.3690012156963348,0.12994863102455337,9.61875057220459,0.0022807096135350315,0.12671201171738117,-0.001007287297397852,-0.14203214645385742,0.15614659488201146,0.0428654152545797,10.624615669250488,0.00020015551438084,0.051505747167559526,-0.0004373926931293681,-0.06115636713802814,0.06096942573785782,0.006132077099682325,11.43643569946289,-1.6847330012023986e-06,0.013780978339911362,-1.4793360605835915e-05,-0.015773717314004898,0.01540657039731741
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-188191-A-293.wav,Multiclass_Drone_Audio\unknown\4-188191-A-293.wav,al_emadi,4-188191-A-293,1.0216875,0.01969075367842617,5.5821757316589355,-3.062930701413821e-05,0.01669523473252529,-9.956644498743117e-05,-0.007283174805343151,0.008423642441630382,0.2925849534582408,5.694058418273926,-0.007584302162866863,0.06390739658921256,3.044843288080301e-05,-0.051002278923988335,0.015302762947976613,0.6218677308661399,5.593912124633789,0.00013743997504734367,0.06653634551318811,1.1723012448783265e-05,-0.018788238801062108,0.024269866384565842,0.021051307409130363,7.561800956726074,8.910765328682948e-05,0.008670677231057126,1.1451086720626336e-05,-0.0043125406838953485,0.003585756011307241,0.0310266829515735,7.872908592224121,8.60922266460943e-05,0.0074486620023066575,-6.676614020761917e-06,-0.0024539817590266463,0.002706791949458421,0.013778571636489306,8.165746688842773,-7.97400907032366e-06,0.003511651254640731,-8.246161087299697e-07,-0.001102370349690318,0.0010105788242071873
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\mixed_52-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\mixed_52-bebop_002_.wav,al_emadi,mixed_52-bebop_002,1.024,0.5285415152322122,7.656043529510498,0.007072527462510486,0.22530581664300492,0.00017976801609620452,-0.27187308073043825,0.26388221085071567,0.13876778960014008,7.3010149002075195,0.002417391822303683,0.11547711359714018,0.0014104473521001637,-0.12259684056043625,0.12270680665969849,0.06004431268550743,8.811515808105469,0.0005508208612050155,0.053877348068222766,-0.00181133538717404,-0.06512709408998489,0.07053212523460389,0.06808174221499973,9.997962951660156,7.827924602596314e-05,0.04062804152723891,0.000508499113493599,-0.05390127822756767,0.05148261934518814,0.1139835292838741,10.947181701660156,0.00014697929388300204,0.03720354866758752,-0.00018424232257530093,-0.04708166420459747,0.04816872999072075,0.0905811109832665,11.9266357421875,-8.059732346954816e-05,0.023461369659880486,4.635678487829864e-05,-0.030153122171759597,0.02927917912602425
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\membo_1\Membo_1_043-membo_001_.wav,Multiclass_Drone_Audio\membo_1\Membo_1_043-membo_001_.wav,al_emadi,Membo_1_043-membo_001,1.024,0.3410062898347098,8.286783218383789,-0.0011908418353301794,0.08618226526429955,-0.006412505870684981,-0.11177584677934646,0.11712438464164734,0.012085398040844053,7.950771808624268,-1.5699034727548887e-05,0.01622588676295891,0.0004109041765332222,-0.020675801672041416,0.02025126162916422,0.07011359209582012,8.959090232849121,-5.698508559839203e-05,0.027715621898851517,-0.0009682124655228108,-0.03459478504955769,0.03558888770639897,0.11917643937969714,9.875125885009766,0.0004882865336310958,0.025583439784498067,0.00016716121172066778,-0.03213153332471847,0.0333743542432785,0.21734254084064006,10.773965835571289,-5.689017835862447e-06,0.02445516054268633,4.242040449753404e-05,-0.030220022425055504,0.030175967141985893,0.24027573980828884,11.84420108795166,-1.0103909484871628e-06,0.01818961532166619,-7.851253030821681e-05,-0.022848008573055266,0.02264986485242844
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\mixed_45-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\mixed_45-bebop_002_.wav,al_emadi,mixed_45-bebop_002,1.024,0.7387159404738572,7.49206018447876,0.0014563006848729715,0.26789991350852044,0.009546492248773575,-0.3280804604291916,0.29043439626693734,0.029594224925088487,7.422205924987793,0.00043696073660605433,0.05362031006963772,0.0013370626838877797,-0.05849275924265385,0.06314478740096093,0.017092068185678697,8.936779022216797,-0.0002801685385491916,0.028897709047025915,0.0008647391223348677,-0.03745752722024918,0.035856574028730395,0.0523945149333628,9.885711669921875,0.0005067870706705102,0.03582650061912687,-0.0001994796039070934,-0.04385657422244549,0.046732437238097196,0.09348194652635443,10.908053398132324,4.387675894762295e-06,0.03387069581973237,0.00029838690534234047,-0.04318339750170708,0.0424826480448246,0.0687213049556583,11.907227516174316,-8.227766755058603e-05,0.02054342571047886,-0.0002977766562253237,-0.026090693846344947,0.02613740041851998
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\2-104952-A-164.wav,Multiclass_Drone_Audio\unknown\2-104952-A-164.wav,al_emadi,2-104952-A-164,0.95975,0.4486607012548388,7.825583457946777,-0.002075774638737272,0.10888493201996757,-0.004540690220892429,-0.13658611476421356,0.139589823782444,0.451615970229675,7.811836242675781,0.0003481044765411389,0.10926224140479837,-0.00016370163939427584,-0.13983207195997238,0.1353369653224945,0.08604279928364937,8.690999984741211,-5.767613387674837e-05,0.03382781059979358,-0.0004175423237029463,-0.04137860983610153,0.04343463480472565,0.01042745295789373,9.745797157287598,5.54777927547028e-05,0.008341996184787055,3.6704586818814278e-06,-0.010329316183924674,0.010432225652039058,0.0025895632309982713,10.869816780090332,-6.756924953725132e-06,0.0029418887299806564,-6.564499926753342e-06,-0.0038284101290628316,0.0037129699718207133,0.0006635130429448528,11.843491554260254,-2.325018588918071e-07,0.0010534687543231878,-1.8384307622909546e-06,-0.0013354563852772117,0.0013555653858929873
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-194930-A-10.wav,Multiclass_Drone_Audio\unknown\5-194930-A-10.wav,al_emadi,5-194930-A-10,1.0216875,0.002864119931435931,2.0568716526031494,-0.0015681542575591162,0.030573462712620632,-0.00089144246885553,-0.005373091716319322,0.006926205940544615,0.020955656910149865,5.549398422241211,-0.00018637861543841327,0.08280739006607475,1.791006070561707e-06,-0.01185689158737659,0.004742005933076157,0.17208374223846684,6.449838161468506,-0.001407154058813243,0.16827632379965007,3.092281986027956e-11,-0.0028205083683133124,0.01591900382191024,0.7504056427864291,7.4601945877075195,-0.0003356890259750827,0.2489095123654898,5.9117155615240335e-12,-0.002955752145498964,0.0020484748296439705,0.051940090501324566,8.473526954650879,1.6213673534814394e-05,0.046339182206748965,-5.229594535194337e-12,-0.0009074942150618878,0.0009933772031217826,0.0017507476321937422,9.17021369934082,2.773694840349005e-06,0.006018379366211052,4.547473508864641e-13,-0.0003437064588069914,0.0002914047043304898
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-172732-A-364.wav,Multiclass_Drone_Audio\unknown\4-172732-A-364.wav,al_emadi,4-172732-A-364,0.95975,0.03310747030411906,7.4913835525512695,0.010455173788086317,0.21709271280120637,-0.0013775527477264404,-0.23399439454078674,0.2687879353761673,0.4007316447240941,8.237831115722656,-0.005455647731284177,0.7561376076640065,-0.00782339135184884,-1.0173383951187134,0.9671140611171722,0.1955012689259813,8.837292671203613,-0.0012006895916968367,0.3746169717689504,-0.0021967990905977786,-0.4782909154891968,0.4715847223997116,0.1796261386481842,9.799835205078125,-0.004912475201561321,0.25432663970586683,-0.008323967456817627,-0.3253749370574951,0.3119718849658967,0.14911765179223613,10.895851135253906,0.0017983813231013102,0.16400238657458088,0.003958021057769656,-0.214192932844162,0.21141662150621415,0.04191582560538524,11.870038986206055,-0.00034714434749093655,0.06151438139205166,0.0003558963071554899,-0.07997375726699829,0.07929255068302155
